,Event date,State Code,Country,Injury severity,Aircraft damage,Make,Model,Number of engines,Engine type,FAR description,Purpose of flight,Total fatal injuries,Total serious injuries,Total minor injuries,Total uninjured,Weather condition,Report status,Region,Year,Total passengers,Total injuries
745,1982-04-03,CA,United States,Non-Fatal,Destroyed,Beech,D55,2.0,Reciprocating,091,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,West,1982,2.0,0.0
761,1982-04-05,MI,United States,Non-Fatal,Unknown,Beech,95,2.0,Reciprocating,Unknown,Executive/corporate,0.0,1.0,0.0,1.0,VMC,Probable Cause,Midwest,1982,2.0,1.0
768,1982-04-05,IN,United States,Non-Fatal,Substantial,Swearingen,SA226TC,2.0,Turbo Prop,091,Ferry,0.0,0.0,0.0,2.0,IMC,Probable Cause,Midwest,1982,2.0,0.0
772,1982-04-06,PA,United States,Fatal(2),Destroyed,Beech,E55,2.0,Reciprocating,091,Business,2.0,0.0,0.0,0.0,IMC,Probable Cause,Northeast,1982,2.0,2.0
785,1982-04-07,NC,United States,Non-Fatal,Substantial,Beech,65-A90,2.0,Turbo Prop,091,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
796,1982-04-09,OH,United States,Incident,Minor,Boeing,727-200,3.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,108.0,IMC,Probable Cause,Midwest,1982,108.0,0.0
890,1982-04-18,NC,United States,Incident,Minor,Beech,BE-99,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,11.0,VMC,Probable Cause,South,1982,11.0,0.0
901,1982-04-18,TX,United States,Non-Fatal,Substantial,Boeing,727-200,3.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,68.0,VMC,Probable Cause,South,1982,68.0,0.0
916,1982-04-21,MO,United States,Fatal(1),Destroyed,Beech,B95,2.0,Reciprocating,091,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,Midwest,1982,1.0,1.0
942,1982-04-23,TX,United States,Non-Fatal,Substantial,Beech,A60,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1982,1.0,0.0
969,1982-04-25,FL,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,091,Instructional,0.0,0.0,0.0,4.0,VMC,Probable Cause,South,1982,4.0,0.0
987,1982-04-26,VA,United States,Non-Fatal,Substantial,Beech,90,2.0,Turbo Prop,091,Personal,0.0,0.0,0.0,1.0,IMC,Probable Cause,South,1982,1.0,0.0
999,1982-04-28,HI,United States,Fatal(2),Destroyed,Beech,E18S,2.0,Reciprocating,135,Unknown,2.0,0.0,0.0,0.0,VMC,Probable Cause,West,1982,2.0,2.0
1067,1982-05-02,IL,United States,Non-Fatal,Substantial,Beech,56TC,2.0,Reciprocating,091,Executive/corporate,0.0,0.0,0.0,5.0,VMC,Probable Cause,Midwest,1982,5.0,0.0
1087,1982-05-05,TX,United States,Fatal(7),Destroyed,Beech,B90,2.0,Turbo Prop,091,Personal,7.0,0.0,0.0,0.0,VMC,Probable Cause,South,1982,7.0,7.0
1199,1982-05-15,TX,United States,Fatal(4),Destroyed,Beech,95-C55,2.0,Reciprocating,091,Personal,4.0,0.0,0.0,0.0,VMC,Probable Cause,South,1982,4.0,4.0
1216,1982-05-16,AK,United States,Non-Fatal,Destroyed,De havilland,DHC-6-200,2.0,Turbo Prop,135,Unknown,0.0,8.0,0.0,0.0,VMC,Probable Cause,West,1982,8.0,8.0
1245,1982-05-17,CA,United States,Non-Fatal,Substantial,Swearingen,SA26-T,2.0,Turbo Prop,091,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Probable Cause,West,1982,2.0,0.0
1295,1982-05-22,TN,United States,Non-Fatal,Unknown,Douglas,DC-9-15F,2.0,Turbo Jet,121,Unknown,0.0,1.0,0.0,56.0,VMC,Probable Cause,South,1982,57.0,1.0
1328,1982-05-25,NY,United States,Non-Fatal,Substantial,Beech,B95,2.0,Reciprocating,091,Ferry,0.0,0.0,0.0,2.0,IMC,Probable Cause,Northeast,1982,2.0,0.0
1339,1982-05-26,LA,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,091,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1982,1.0,0.0
1343,1982-05-26,CA,United States,Non-Fatal,Substantial,Douglas,DC10-10,3.0,Turbo Fan,121,Unknown,0.0,0.0,25.0,113.0,VMC,Probable Cause,West,1982,138.0,25.0
1347,1982-05-27,IN,United States,Incident,Unknown,Douglas,DC-8-61,4.0,Turbo Jet,121,Unknown,0.0,0.0,17.0,129.0,VMC,Probable Cause,Midwest,1982,146.0,17.0
1360,1982-05-28,CA,United States,Non-Fatal,Minor,Swearingen,SA226-TC,2.0,Turbo Prop,135,Unknown,0.0,1.0,0.0,5.0,VMC,Probable Cause,West,1982,6.0,1.0
1364,1982-05-28,MD,United States,Fatal(5),Destroyed,Beech,D95A,2.0,Reciprocating,091,Public Aircraft,5.0,0.0,0.0,0.0,IMC,Probable Cause,South,1982,5.0,5.0
1389,1982-05-29,IL,United States,Non-Fatal,Substantial,Douglas,DC-3A,2.0,Reciprocating,091,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1982,2.0,0.0
1390,1982-05-29,AN,ATLANTIC OCEAN,Non-Fatal,Unknown,Douglas,DC8-52,4.0,Turbo Fan,121,Unknown,0.0,1.0,1.0,109.0,VMC,Probable Cause,Unknown,1982,111.0,2.0
1439,1982-06-03,TX,United States,Non-Fatal,Substantial,Beech,D18S,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,South,1982,4.0,0.0
1465,1982-06-06,FL,United States,Non-Fatal,Destroyed,Douglas,DC-3C,2.0,Reciprocating,091,Unknown,0.0,5.0,0.0,0.0,VMC,Probable Cause,South,1982,5.0,5.0
1467,1982-06-06,GA,United States,Incident,Minor,Beech,18,2.0,Reciprocating,091,Ferry,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
1521,1982-06-11,TX,United States,Non-Fatal,Substantial,Learjet,23,2.0,Turbo Jet,091,Personal,0.0,0.0,0.0,8.0,VMC,Probable Cause,South,1982,8.0,0.0
1546,1982-06-13,OK,United States,Non-Fatal,Destroyed,Beech,C-35,2.0,Reciprocating,091,Personal,0.0,0.0,4.0,0.0,VMC,Probable Cause,South,1982,4.0,4.0
1581,1982-06-16,AK,United States,Incident,Minor,De havilland,DHC-6-100,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,West,1982,10.0,0.0
1655,1982-06-21,CA,United States,Non-Fatal,Destroyed,Beech,95-C55,2.0,Reciprocating,091,Business,0.0,2.0,0.0,0.0,VMC,Probable Cause,West,1982,2.0,2.0
1699,1982-06-25,MS,United States,Non-Fatal,Destroyed,Beech,58,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
1720,1982-06-26,NM,United States,Non-Fatal,Substantial,Beech,D18S,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,West,1982,2.0,0.0
1763,1982-06-30,TX,United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,135,Unknown,0.0,0.0,1.0,0.0,VMC,Probable Cause,South,1982,1.0,1.0
1802,1982-07-03,NE,United States,Non-Fatal,Substantial,Beech,58P,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,Midwest,1982,4.0,0.0
1833,1982-07-05,ID,United States,Incident,Minor,Douglas,DC-9-31,2.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,84.0,VMC,Probable Cause,West,1982,84.0,0.0
1834,1982-07-05,NY,United States,Incident,Minor,Boeing,727-233,3.0,Turbo Fan,129,Unknown,0.0,0.0,0.0,74.0,VMC,Probable Cause,Northeast,1982,74.0,0.0
1838,1982-07-05,CA,United States,Non-Fatal,Destroyed,Beech,60,2.0,Reciprocating,091,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,West,1982,1.0,1.0
1871,1982-07-09,LA,United States,Fatal(153),Destroyed,Boeing,727-235,3.0,Turbo Fan,Unknown,Unknown,153.0,9.0,0.0,7.0,VMC,Probable Cause,South,1982,169.0,162.0
1935,1982-07-13,IA,United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,091,Business,0.0,0.0,1.0,0.0,VMC,Probable Cause,Midwest,1982,1.0,1.0
1969,1982-07-16,WY,United States,Non-Fatal,Minor,Mcdonnell douglas,DC-10-10,3.0,Turbo Fan,121,Unknown,0.0,7.0,19.0,142.0,VMC,Probable Cause,West,1982,168.0,26.0
1984,1982-07-17,OR,United States,Non-Fatal,Destroyed,Beech,C45G,2.0,Reciprocating,091,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,1982,1.0,0.0
2009,1982-07-18,TX,United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,091,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
2021,1982-07-20,MO,United States,Incident,Minor,Beech,E18S,2.0,Reciprocating,135,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Midwest,1982,1.0,0.0
2091,1982-07-24,NC,United States,Non-Fatal,Substantial,Beech,B-60,2.0,Reciprocating,091,Business,0.0,0.0,1.0,0.0,VMC,Probable Cause,South,1982,1.0,1.0
2132,1982-07-28,NY,United States,Incident,Minor,Boeing,727-231,3.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,129.0,IMC,Probable Cause,Northeast,1982,129.0,0.0
2137,1982-07-28,NV,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,West,1982,3.0,0.0
2138,1982-07-28,TX,United States,Non-Fatal,Substantial,Beech,B99A,2.0,Turbo Prop,091,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
2176,1982-07-30,TX,United States,Non-Fatal,Substantial,Douglas,DC-3C,2.0,Reciprocating,135,Unknown,0.0,0.0,2.0,1.0,VMC,Probable Cause,South,1982,3.0,2.0
2237,1982-08-04,AZ,United States,Fatal(2),Destroyed,Beech,95-B55,2.0,Reciprocating,091,Personal,2.0,1.0,0.0,0.0,VMC,Probable Cause,West,1982,3.0,3.0
2254,1982-08-05,CO,United States,Incident,Minor,Boeing,737-291,2.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,102.0,VMC,Probable Cause,West,1982,102.0,0.0
2257,1982-08-05,MT,United States,Non-Fatal,Substantial,Beech,90,2.0,Turbo Prop,091,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,West,1982,4.0,0.0
2263,1982-08-06,as,Bahamas,Non-Fatal,Destroyed,Beech,65,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Unknown,1982,3.0,0.0
2269,1982-08-06,AR,United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,South,1982,4.0,0.0
2322,1982-08-10,NY,United States,Non-Fatal,Substantial,De havilland,DH-114,4.0,Reciprocating,091,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Northeast,1982,2.0,0.0
2324,1982-08-10,AZ,United States,Non-Fatal,Substantial,Beech,E55,2.0,Reciprocating,091,Unknown,0.0,0.0,1.0,0.0,VMC,Probable Cause,West,1982,1.0,1.0
2335,1982-08-12,NE,United States,Incident,Minor,Boeing,737-291,2.0,Turbo Fan,121,Unknown,0.0,0.0,33.0,0.0,IMC,Probable Cause,Midwest,1982,33.0,33.0
2342,1982-08-12,TX,United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,091,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
2350,1982-08-12,AL,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,091,Business,0.0,0.0,0.0,5.0,VMC,Probable Cause,South,1982,5.0,0.0
2353,1982-08-13,NJ,United States,Non-Fatal,Destroyed,Beech,E18S,2.0,Reciprocating,091,Unknown,0.0,1.0,1.0,0.0,VMC,Probable Cause,Northeast,1982,2.0,2.0
2385,1982-08-15,CA,United States,Non-Fatal,Substantial,Beech,58TC,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,1982,1.0,0.0
2418,1982-08-17,CO,United States,Non-Fatal,Substantial,Beech,60,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,1982,1.0,0.0
2451,1982-08-20,MO,United States,Non-Fatal,Substantial,Swearingen,SA226TC,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,12.0,VMC,Probable Cause,Midwest,1982,12.0,0.0
2456,1982-08-21,HI,United States,Incident,Minor,Mcdonnell douglas,DC-10-30F,3.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,393.0,VMC,Probable Cause,West,1982,393.0,0.0
2501,1982-08-23,IA,United States,Non-Fatal,Substantial,Aerospatiale,AS-355F,2.0,Turbo Shaft,091,Unknown,0.0,0.0,2.0,3.0,VMC,Probable Cause,Midwest,1982,5.0,2.0
2503,1982-08-23,LI,Unknown,Non-Fatal,Substantial,Douglas,C-47,2.0,Reciprocating,135,Unknown,0.0,0.0,0.0,4.0,VMC,Probable Cause,Unknown,1982,4.0,0.0
2586,1982-08-30,IL,United States,Non-Fatal,Substantial,Beech,G18S,2.0,Reciprocating,135,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Midwest,1982,1.0,0.0
2597,1982-09-01,TX,United States,Non-Fatal,Minor,Beech,95-C55,2.0,Reciprocating,091,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
2598,1982-09-01,WI,United States,Incident,Minor,Swearingen,SA-226TC,2.0,Turbo Prop,091,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1982,2.0,0.0
2614,1982-09-02,DC,United States,Incident,Unknown,Boeing,727,3.0,Turbo Fan,121,Unknown,0.0,1.0,1.0,128.0,VMC,Probable Cause,South,1982,130.0,2.0
2618,1982-09-02,KS,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,091,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Midwest,1982,1.0,0.0
2633,1982-09-03,CA,United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,091,Ferry,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,1982,1.0,0.0
2789,1982-09-17,CA,United States,Fatal(2),Substantial,Beech,200,2.0,Turbo Prop,091,Personal,2.0,0.0,0.0,1.0,VMC,Probable Cause,West,1982,3.0,2.0
2792,1982-09-17,IN,United States,Non-Fatal,Substantial,Beech,G18S,2.0,Reciprocating,135,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Midwest,1982,1.0,0.0
2865,1982-09-24,TX,United States,Fatal(1),Destroyed,Beech,58P,2.0,Reciprocating,091,Public Aircraft,1.0,4.0,0.0,0.0,VMC,Probable Cause,South,1982,5.0,5.0
2901,1982-09-27,AK,United States,Non-Fatal,Unknown,Beech,C45H,2.0,Reciprocating,091,Business,0.0,0.0,0.0,3.0,VMC,Probable Cause,West,1982,3.0,0.0
2914,1982-09-29,CA,United States,Non-Fatal,Substantial,Beech,76,2.0,Reciprocating,135,Unknown,0.0,0.0,0.0,4.0,VMC,Probable Cause,West,1982,4.0,0.0
2948,1982-10-03,HI,United States,Fatal(3),Destroyed,Beech,C-45G,2.0,Reciprocating,091,Instructional,3.0,0.0,0.0,0.0,VMC,Probable Cause,West,1982,3.0,3.0
2949,1982-10-03,AZ,United States,Fatal(5),Destroyed,Beech,95-55,2.0,Reciprocating,091,Personal,5.0,0.0,0.0,0.0,VMC,Probable Cause,West,1982,5.0,5.0
2950,1982-10-03,LA,United States,Incident,Unknown,Boeing,727-225A,3.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,112.0,VMC,Probable Cause,South,1982,112.0,0.0
2976,1982-10-04,OH,United States,Non-Fatal,Substantial,Beech,56TC,2.0,Reciprocating,091,Personal,0.0,4.0,0.0,0.0,VMC,Probable Cause,Midwest,1982,4.0,4.0
3006,1982-10-08,SC,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,135,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
3030,1982-10-11,FL,United States,Non-Fatal,Substantial,Beech,95-C55,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
3054,1982-10-15,CA,United States,Non-Fatal,Substantial,Swearingen,SA-226TC,2.0,Turbo Prop,135,Unknown,0.0,0.0,1.0,17.0,VMC,Probable Cause,West,1982,18.0,1.0
3064,1982-10-16,SC,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,South,1982,4.0,0.0
3066,1982-10-17,CA,United States,Fatal(14),Destroyed,Beech,C-45H,2.0,Reciprocating,091,Skydiving,14.0,0.0,0.0,0.0,VMC,Probable Cause,West,1982,14.0,14.0
3074,1982-10-17,IN,United States,Non-Fatal,Substantial,Swearingen,SA227-AC,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,8.0,VMC,Probable Cause,Midwest,1982,8.0,0.0
3076,1982-10-18,TX,United States,Incident,Minor,Douglas,DC-9-30,2.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,65.0,VMC,Probable Cause,South,1982,65.0,0.0
3083,1982-10-19,TX,United States,Fatal(2),Destroyed,Beech,58,2.0,Reciprocating,091,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,South,1982,2.0,2.0
3141,1982-10-28,TN,United States,Incident,Minor,Beech,B99,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
3173,1982-11-01,NC,United States,Non-Fatal,Substantial,Beech,B90,2.0,Turbo Prop,091,Ferry,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
3177,1982-11-02,TX,United States,Non-Fatal,Unknown,Boeing,737-200,2.0,Turbo Fan,121,Unknown,0.0,1.0,0.0,67.0,VMC,Probable Cause,South,1982,68.0,1.0
3187,1982-11-03,AK,United States,Non-Fatal,Substantial,Beech,50,2.0,Reciprocating,091,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,1982,1.0,0.0
3193,1982-11-05,as,Bahamas,Fatal(3),Destroyed,Beech,65-B80,2.0,Reciprocating,Unknown,Personal,3.0,0.0,0.0,0.0,UNK,Probable Cause,Unknown,1982,3.0,3.0
